Encoding,Configuration,solve-CPU,solve-Wall,Pre-CPU,Pre-WALL,Name
kmtotalizer,Proximity,32.71,32.75,2.36,2.4,aes-key-recovery-AES2-70-62-sat
kmtotalizer,Graph,10.490000000000009,10.450000000000003,112.66,112.74,aes-key-recovery-AES2-70-62-sat
kmtotalizer,Natural,495.13,495.15,1.07,1.11,aes-key-recovery-AES2-70-62-sat
kmtotalizer,Occurrence,25.01,25,1.82,1.86,aes-key-recovery-AES2-70-62-sat
kmtotalizer,Random_1,64.21,64.17,1.07,1.15,aes-key-recovery-AES2-70-62-sat
kmtotalizer,Random_2,201.95,202.03,1.14,1.16,aes-key-recovery-AES2-70-62-sat
kmtotalizer,Random_3,209.72,209.74,1.14,1.15,aes-key-recovery-AES2-70-62-sat
kmtotalizer,Random_4,170.57,170.57,1.12,1.15,aes-key-recovery-AES2-70-62-sat
kmtotalizer,Random_5,207.08,207.13,1.14,1.16,aes-key-recovery-AES2-70-62-sat
kmtotalizer,PAMO+Occur,21.299999999999997,21.28,2.99,3.09,aes-key-recovery-AES2-70-62-unsat
kmtotalizer,Natural+PAMO,47.769999999999996,47.760000000000005,1.21,1.3,aes-key-recovery-AES2-70-62-unsat
kmtotalizer,PAMO,21.369999999999997,21.35,2.99,3.08,aes-key-recovery-AES2-70-62-unsat
kmtotalizer,Proximity,21.59,21.61,2.39,2.43,aes-key-recovery-AES2-70-62-unsat
kmtotalizer,Graph,55.99000000000001,55.94,113.28,113.4,aes-key-recovery-AES2-70-62-unsat
kmtotalizer,Natural,48.27,48.27,1.08,1.11,aes-key-recovery-AES2-70-62-unsat
kmtotalizer,Occurrence,14.66,14.65,1.8,1.89,aes-key-recovery-AES2-70-62-unsat
kmtotalizer,Random_1,45.41,45.43,1.12,1.15,aes-key-recovery-AES2-70-62-unsat
kmtotalizer,Random_2,63.85,63.88,1.14,1.14,aes-key-recovery-AES2-70-62-unsat
kmtotalizer,Random_3,24.11,24.14,1.14,1.17,aes-key-recovery-AES2-70-62-unsat
kmtotalizer,Random_4,56.93,56.96,1.13,1.15,aes-key-recovery-AES2-70-62-unsat
kmtotalizer,Random_5,12.53,12.57,1.13,1.15,aes-key-recovery-AES2-70-62-unsat
kmtotalizer,PAMO+Occur,6.030000000000001,6.08,3.02,3.06,aes-key-recovery-AES2-72-68-sat
kmtotalizer,Natural+PAMO,2.9000000000000004,2.97,1.3,1.31,aes-key-recovery-AES2-72-68-sat
kmtotalizer,PAMO,6.059999999999999,6.069999999999999,3.06,3.12,aes-key-recovery-AES2-72-68-sat
kmtotalizer,Proximity,6.069999999999999,6.139999999999999,2.37,2.4,aes-key-recovery-AES2-72-68-sat
kmtotalizer,Graph,3.3700000000000045,3.4399999999999977,112.8,112.83,aes-key-recovery-AES2-72-68-sat
kmtotalizer,Natural,2.95,2.96,1.1,1.13,aes-key-recovery-AES2-72-68-sat
kmtotalizer,Occurrence,3.31,3.3,1.81,1.9,aes-key-recovery-AES2-72-68-sat
kmtotalizer,Random_1,6.26,6.26,1.12,1.15,aes-key-recovery-AES2-72-68-sat
kmtotalizer,Random_2,5.97,6.06,1.12,1.15,aes-key-recovery-AES2-72-68-sat
kmtotalizer,Random_3,9.28,9.3,1.12,1.16,aes-key-recovery-AES2-72-68-sat
kmtotalizer,Random_4,3.83,3.77,1.07,1.17,aes-key-recovery-AES2-72-68-sat
kmtotalizer,Random_5,4.09,4.06,1.07,1.15,aes-key-recovery-AES2-72-68-sat
kmtotalizer,PAMO+Occur,1.77,1.79,3.07,3.09,aes-key-recovery-AES2-72-68-unsat
kmtotalizer,Natural+PAMO,2.8,2.8,1.25,1.29,aes-key-recovery-AES2-72-68-unsat
kmtotalizer,PAMO,1.7499999999999996,1.7899999999999996,3.06,3.1,aes-key-recovery-AES2-72-68-unsat
kmtotalizer,Proximity,1.77,1.7800000000000002,2.39,2.41,aes-key-recovery-AES2-72-68-unsat
kmtotalizer,Graph,2.5900000000000034,2.530000000000001,113.38,113.47,aes-key-recovery-AES2-72-68-unsat
kmtotalizer,Natural,2.85,2.83,1.07,1.11,aes-key-recovery-AES2-72-68-unsat
kmtotalizer,Occurrence,1.52,1.53,1.82,1.86,aes-key-recovery-AES2-72-68-unsat
kmtotalizer,Random_1,1.64,1.7,1.12,1.15,aes-key-recovery-AES2-72-68-unsat
kmtotalizer,Random_2,2.99,2.99,1.12,1.15,aes-key-recovery-AES2-72-68-unsat
kmtotalizer,Random_3,1.03,1.08,1.13,1.15,aes-key-recovery-AES2-72-68-unsat
kmtotalizer,Random_4,2.79,2.74,1.07,1.15,aes-key-recovery-AES2-72-68-unsat
kmtotalizer,Random_5,2.5,2.51,1.08,1.15,aes-key-recovery-AES2-72-68-unsat
kmtotalizer,PAMO+Occur,31.88,31.9,3.05,3.1,aes-key-recovery-AES2-74-11-sat
kmtotalizer,Natural+PAMO,14.690000000000001,14.77,1.27,1.3,aes-key-recovery-AES2-74-11-sat
kmtotalizer,PAMO,31.820000000000004,31.86,3.06,3.1,aes-key-recovery-AES2-74-11-sat
kmtotalizer,Proximity,31.8,31.839999999999996,2.38,2.42,aes-key-recovery-AES2-74-11-sat
kmtotalizer,Graph,30.99000000000001,30.999999999999986,113.47,113.51,aes-key-recovery-AES2-74-11-sat
kmtotalizer,Natural,14.71,14.72,1.11,1.12,aes-key-recovery-AES2-74-11-sat
kmtotalizer,Occurrence,28.09,28.07,1.81,1.87,aes-key-recovery-AES2-74-11-sat
kmtotalizer,Random_1,42.78,42.81,1.14,1.15,aes-key-recovery-AES2-74-11-sat
kmtotalizer,Random_2,25.05,25.03,1.12,1.17,aes-key-recovery-AES2-74-11-sat
kmtotalizer,Random_3,12.81,12.84,1.15,1.16,aes-key-recovery-AES2-74-11-sat
kmtotalizer,Random_4,29.52,29.52,1.14,1.16,aes-key-recovery-AES2-74-11-sat
kmtotalizer,Random_5,14.2,14.28,1.13,1.15,aes-key-recovery-AES2-74-11-sat
kmtotalizer,PAMO+Occur,7.539999999999999,7.57,3.07,3.09,aes-key-recovery-AES2-74-11-unsat
kmtotalizer,Natural+PAMO,6.779999999999999,6.75,1.25,1.31,aes-key-recovery-AES2-74-11-unsat
kmtotalizer,PAMO,7.590000000000001,7.57,3.05,3.09,aes-key-recovery-AES2-74-11-unsat
kmtotalizer,Proximity,7.5200000000000005,7.530000000000001,2.37,2.43,aes-key-recovery-AES2-74-11-unsat
kmtotalizer,Graph,6.290000000000006,6.340000000000003,113.08,113.11,aes-key-recovery-AES2-74-11-unsat
kmtotalizer,Natural,6.75,6.74,1.07,1.11,aes-key-recovery-AES2-74-11-unsat
kmtotalizer,Occurrence,8.53,8.52,1.83,1.88,aes-key-recovery-AES2-74-11-unsat
kmtotalizer,Random_1,10.62,10.69,1.13,1.15,aes-key-recovery-AES2-74-11-unsat
kmtotalizer,Random_2,10.29,10.34,1.13,1.15,aes-key-recovery-AES2-74-11-unsat
kmtotalizer,Random_3,8.81,8.77,1.07,1.15,aes-key-recovery-AES2-74-11-unsat
kmtotalizer,Random_4,8.24,8.24,1.12,1.15,aes-key-recovery-AES2-74-11-unsat
kmtotalizer,Random_5,7.04,7.06,1.12,1.15,aes-key-recovery-AES2-74-11-unsat
kmtotalizer,PAMO+Occur,2.9100000000000006,2.9199999999999995,3.07,3.1,aes-key-recovery-AES2-74-72-sat
kmtotalizer,Natural+PAMO,7.87,7.8999999999999995,1.29,1.3,aes-key-recovery-AES2-74-72-sat
kmtotalizer,PAMO,2.9100000000000006,2.9200000000000004,3.07,3.11,aes-key-recovery-AES2-74-72-sat
kmtotalizer,Proximity,2.8099999999999996,2.88,2.37,2.41,aes-key-recovery-AES2-74-72-sat
kmtotalizer,Graph,7.989999999999995,8.039999999999992,114.47,114.53,aes-key-recovery-AES2-74-72-sat
kmtotalizer,Natural,7.88,7.9,1.1,1.12,aes-key-recovery-AES2-74-72-sat
kmtotalizer,Occurrence,7.69,7.65,1.8,1.86,aes-key-recovery-AES2-74-72-sat
kmtotalizer,Random_1,4.17,4.19,1.08,1.15,aes-key-recovery-AES2-74-72-sat
kmtotalizer,Random_2,6.12,6.19,1.12,1.15,aes-key-recovery-AES2-74-72-sat
kmtotalizer,Random_3,7.61,7.66,1.12,1.15,aes-key-recovery-AES2-74-72-sat
kmtotalizer,Random_4,8.39,8.43,1.12,1.15,aes-key-recovery-AES2-74-72-sat
kmtotalizer,Random_5,4.48,4.48,1.12,1.15,aes-key-recovery-AES2-74-72-sat
kmtotalizer,PAMO+Occur,1.2100000000000004,1.23,3.07,3.1,aes-key-recovery-AES2-74-72-unsat
kmtotalizer,Natural+PAMO,1.1700000000000002,1.1800000000000002,1.2,1.29,aes-key-recovery-AES2-74-72-unsat
kmtotalizer,PAMO,1.23,1.2500000000000004,3.06,3.07,aes-key-recovery-AES2-74-72-unsat
kmtotalizer,Proximity,1.2000000000000002,1.2399999999999998,2.38,2.41,aes-key-recovery-AES2-74-72-unsat
kmtotalizer,Graph,1.1899999999999977,1.1800000000000068,112.67,112.71,aes-key-recovery-AES2-74-72-unsat
kmtotalizer,Natural,1.08,1.14,1.08,1.11,aes-key-recovery-AES2-74-72-unsat
