Encoding,Configuration,solve-CPU,solve-Wall,Pre-CPU,Pre-WALL,Name
mtotalizer,PAMO+Occur,0.25,0.29000000000000004,3.06,3.1,aes-key-recovery-AES2-50-52-unsat
mtotalizer,Proximity,0.27,0.2999999999999998,2.41,2.43,aes-key-recovery-AES2-50-52-unsat
mtotalizer,Natural,0.02,0.24,1.11,1.13,aes-key-recovery-AES2-50-52-unsat
mtotalizer,Occurrence,0.08,0.24,1.79,1.88,aes-key-recovery-AES2-50-52-unsat
mtotalizer,Random_1,0,0.3,1.15,1.16,aes-key-recovery-AES2-50-52-unsat
mtotalizer,Random_2,0.3,0.25,1.07,1.17,aes-key-recovery-AES2-50-52-unsat
mtotalizer,Random_3,0.03,0.23,1.13,1.17,aes-key-recovery-AES2-50-52-unsat
mtotalizer,Random_4,0.06,0.24,1.11,1.18,aes-key-recovery-AES2-50-52-unsat
mtotalizer,Random_5,0.03,0.25,1.13,1.17,aes-key-recovery-AES2-50-52-unsat
cardnetwork,PAMO+Occur,0.08999999999999986,0.20999999999999996,2.99,3.09,aes-key-recovery-AES2-50-52-unsat
cardnetwork,Proximity,0.10999999999999988,0.20999999999999996,2.31,2.43,aes-key-recovery-AES2-50-52-unsat
cardnetwork,Natural,0.01,0.21,1.12,1.14,aes-key-recovery-AES2-50-52-unsat
cardnetwork,Occurrence,0.04,0.21,1.81,1.86,aes-key-recovery-AES2-50-52-unsat
cardnetwork,Random_1,0.07,0.21,1.07,1.15,aes-key-recovery-AES2-50-52-unsat
cardnetwork,Random_2,0.03,0.23,1.12,1.16,aes-key-recovery-AES2-50-52-unsat
cardnetwork,Random_3,0.07,0.24,1.08,1.15,aes-key-recovery-AES2-50-52-unsat
cardnetwork,Random_4,0.27,0.22,1.08,1.16,aes-key-recovery-AES2-50-52-unsat
cardnetwork,Random_5,0.03,0.23,1.12,1.16,aes-key-recovery-AES2-50-52-unsat
sortnetwork,PAMO+Occur,0.040000000000000036,0.22999999999999998,3.07,3.12,aes-key-recovery-AES2-50-52-unsat
sortnetwork,Proximity,0.11000000000000032,0.22999999999999998,2.38,2.5,aes-key-recovery-AES2-50-52-unsat
sortnetwork,Natural,0.27,0.23,1.08,1.17,aes-key-recovery-AES2-50-52-unsat
sortnetwork,Occurrence,0.06,0.24,1.84,1.91,aes-key-recovery-AES2-50-52-unsat
sortnetwork,Random_1,0.08,0.31,1.12,1.21,aes-key-recovery-AES2-50-52-unsat
sortnetwork,Random_2,0,0.33,1.21,1.21,aes-key-recovery-AES2-50-52-unsat
sortnetwork,Random_3,0,0.35,1.19,1.2,aes-key-recovery-AES2-50-52-unsat
sortnetwork,Random_4,0,0.28,1.21,1.22,aes-key-recovery-AES2-50-52-unsat
sortnetwork,Random_5,0,0.32,1.21,1.24,aes-key-recovery-AES2-50-52-unsat
sequential,PAMO+Occur,0.25,0.22999999999999998,3.03,3.1,aes-key-recovery-AES2-50-52-unsat
sequential,Proximity,0.03000000000000025,0.21999999999999975,2.38,2.41,aes-key-recovery-AES2-50-52-unsat
sequential,Natural,0,0.2,1.12,1.13,aes-key-recovery-AES2-50-52-unsat
sequential,Occurrence,0.05,0.22,1.8,1.86,aes-key-recovery-AES2-50-52-unsat
sequential,Random_1,0.06,0.2,1.08,1.16,aes-key-recovery-AES2-50-52-unsat
sequential,Random_2,0.03,0.2,1.12,1.16,aes-key-recovery-AES2-50-52-unsat
sequential,Random_3,0.03,0.22,1.12,1.16,aes-key-recovery-AES2-50-52-unsat
sequential,Random_4,0,0.23,1.14,1.15,aes-key-recovery-AES2-50-52-unsat
sequential,Random_5,0.08,0.22,1.07,1.16,aes-key-recovery-AES2-50-52-unsat
kmtotalizer,PAMO+Occur,3.2600000000000002,3.23,2.94,3.06,aes-key-recovery-AES2-60-56-sat
kmtotalizer,Proximity,3.2100000000000004,3.21,2.32,2.42,aes-key-recovery-AES2-60-56-sat
kmtotalizer,Natural,1.96,2.01,1.1,1.13,aes-key-recovery-AES2-60-56-sat
kmtotalizer,Occurrence,2.68,2.67,1.83,1.86,aes-key-recovery-AES2-60-56-sat
kmtotalizer,Random_1,2.95,2.96,1.14,1.16,aes-key-recovery-AES2-60-56-sat
kmtotalizer,Random_2,4.74,4.77,1.13,1.15,aes-key-recovery-AES2-60-56-sat
kmtotalizer,Random_3,3.71,3.74,1.14,1.16,aes-key-recovery-AES2-60-56-sat
kmtotalizer,Random_4,2.99,3.03,1.11,1.15,aes-key-recovery-AES2-60-56-sat
kmtotalizer,Random_5,3.08,3.13,1.12,1.16,aes-key-recovery-AES2-60-56-sat
mtotalizer,PAMO+Occur,3.5599999999999996,3.6199999999999997,3.08,3.1,aes-key-recovery-AES2-60-56-sat
mtotalizer,Proximity,3.6200000000000006,3.62,2.36,2.41,aes-key-recovery-AES2-60-56-sat
mtotalizer,Natural,2.93,2.9,1.07,1.13,aes-key-recovery-AES2-60-56-sat
mtotalizer,Occurrence,2.35,2.38,1.85,1.88,aes-key-recovery-AES2-60-56-sat
mtotalizer,Random_1,2.1,2.08,1.07,1.16,aes-key-recovery-AES2-60-56-sat
mtotalizer,Random_2,8.82,8.9,1.13,1.16,aes-key-recovery-AES2-60-56-sat
mtotalizer,Random_3,3.32,3.25,1.07,1.17,aes-key-recovery-AES2-60-56-sat
mtotalizer,Random_4,4.77,4.79,1.12,1.17,aes-key-recovery-AES2-60-56-sat
mtotalizer,Random_5,3.82,3.84,1.15,1.17,aes-key-recovery-AES2-60-56-sat
cardnetwork,PAMO+Occur,2.3,2.3000000000000003,3.08,3.1,aes-key-recovery-AES2-60-56-sat
cardnetwork,Proximity,2.2499999999999996,2.28,2.35,2.39,aes-key-recovery-AES2-60-56-sat
cardnetwork,Natural,2.66,2.71,1.11,1.14,aes-key-recovery-AES2-60-56-sat
cardnetwork,Occurrence,2.81,2.86,1.84,1.86,aes-key-recovery-AES2-60-56-sat
cardnetwork,Random_1,4.13,4.15,1.13,1.18,aes-key-recovery-AES2-60-56-sat
cardnetwork,Random_2,1.9,1.98,1.13,1.16,aes-key-recovery-AES2-60-56-sat
cardnetwork,Random_3,4.21,4.22,1.14,1.16,aes-key-recovery-AES2-60-56-sat
cardnetwork,Random_4,2.39,2.42,1.12,1.15,aes-key-recovery-AES2-60-56-sat
cardnetwork,Random_5,3.52,3.55,1.13,1.15,aes-key-recovery-AES2-60-56-sat
sortnetwork,PAMO+Occur,4.01,4.01,3.07,3.14,aes-key-recovery-AES2-60-56-sat
sortnetwork,Proximity,4.04,4.05,2.45,2.49,aes-key-recovery-AES2-60-56-sat
sortnetwork,Natural,3.12,3.15,1.14,1.17,aes-key-recovery-AES2-60-56-sat
sortnetwork,Occurrence,3.37,3.34,1.85,1.93,aes-key-recovery-AES2-60-56-sat
sortnetwork,Random_1,3.74,3.72,1.12,1.2,aes-key-recovery-AES2-60-56-sat
sortnetwork,Random_2,4.14,4.12,1.13,1.21,aes-key-recovery-AES2-60-56-sat
sortnetwork,Random_3,3.78,3.75,1.14,1.21,aes-key-recovery-AES2-60-56-sat
sortnetwork,Random_4,3.29,3.28,1.12,1.2,aes-key-recovery-AES2-60-56-sat
sortnetwork,Random_5,3.52,3.53,1.18,1.21,aes-key-recovery-AES2-60-56-sat
sequential,PAMO+Occur,6.709999999999999,6.72,3.07,3.12,aes-key-recovery-AES2-60-56-sat
sequential,Proximity,6.67,6.68,2.39,2.42,aes-key-recovery-AES2-60-56-sat
sequential,Natural,3.35,3.33,1.07,1.12,aes-key-recovery-AES2-60-56-sat
sequential,Occurrence,3.46,3.48,1.78,1.87,aes-key-recovery-AES2-60-56-sat
sequential,Random_1,3.41,3.42,1.14,1.16,aes-key-recovery-AES2-60-56-sat
sequential,Random_2,4.03,4.04,1.12,1.15,aes-key-recovery-AES2-60-56-sat
sequential,Random_3,3.52,3.53,1.13,1.15,aes-key-recovery-AES2-60-56-sat
sequential,Random_4,2.37,2.44,1.13,1.17,aes-key-recovery-AES2-60-56-sat
sequential,Random_5,3.72,3.72,1.13,1.15,aes-key-recovery-AES2-60-56-sat
kmtotalizer,PAMO+Occur,1.6900000000000004,1.6799999999999997,3.0,3.08,aes-key-recovery-AES2-60-56-unsat
kmtotalizer,Proximity,1.67,1.6799999999999997,2.38,2.41,aes-key-recovery-AES2-60-56-unsat
kmtotalizer,Natural,1.5,1.51,1.07,1.12,aes-key-recovery-AES2-60-56-unsat
kmtotalizer,Occurrence,1.76,1.73,1.79,1.86,aes-key-recovery-AES2-60-56-unsat
kmtotalizer,Random_1,1.62,1.56,1.07,1.15,aes-key-recovery-AES2-60-56-unsat
kmtotalizer,Random_2,1.61,1.7,1.12,1.14,aes-key-recovery-AES2-60-56-unsat
kmtotalizer,Random_3,1.55,1.52,1.08,1.14,aes-key-recovery-AES2-60-56-unsat
kmtotalizer,Random_4,1.56,1.57,1.13,1.15,aes-key-recovery-AES2-60-56-unsat
kmtotalizer,Random_5,1.63,1.67,1.12,1.14,aes-key-recovery-AES2-60-56-unsat
mtotalizer,PAMO+Occur,1.5500000000000003,1.6000000000000005,3.07,3.13,aes-key-recovery-AES2-60-56-unsat
mtotalizer,Proximity,1.6,1.5799999999999996,2.38,2.44,aes-key-recovery-AES2-60-56-unsat
mtotalizer,Natural,1.64,1.64,1.07,1.13,aes-key-recovery-AES2-60-56-unsat
mtotalizer,Occurrence,1.42,1.38,1.82,1.88,aes-key-recovery-AES2-60-56-unsat
mtotalizer,Random_1,1.88,1.87,1.14,1.17,aes-key-recovery-AES2-60-56-unsat
mtotalizer,Random_2,1.69,1.73,1.14,1.16,aes-key-recovery-AES2-60-56-unsat
mtotalizer,Random_3,1.62,1.6,1.13,1.19,aes-key-recovery-AES2-60-56-unsat
mtotalizer,Random_4,1.49,1.52,1.15,1.18,aes-key-recovery-AES2-60-56-unsat
mtotalizer,Random_5,1.57,1.64,1.15,1.16,aes-key-recovery-AES2-60-56-unsat
cardnetwork,PAMO+Occur,1.5099999999999998,1.4800000000000004,3.04,3.09,aes-key-recovery-AES2-60-56-unsat
cardnetwork,Proximity,1.4300000000000002,1.48,2.38,2.41,aes-key-recovery-AES2-60-56-unsat
cardnetwork,Natural,1.41,1.43,1.08,1.12,aes-key-recovery-AES2-60-56-unsat
cardnetwork,Occurrence,1.65,1.62,1.84,1.9,aes-key-recovery-AES2-60-56-unsat
cardnetwork,Random_1,1.62,1.6,1.07,1.16,aes-key-recovery-AES2-60-56-unsat
cardnetwork,Random_2,1.56,1.58,1.12,1.15,aes-key-recovery-AES2-60-56-unsat
cardnetwork,Random_3,2.9,2.96,1.14,1.15,aes-key-recovery-AES2-60-56-unsat
cardnetwork,Random_4,1.37,1.44,1.14,1.15,aes-key-recovery-AES2-60-56-unsat
cardnetwork,Random_5,1.56,1.6,1.13,1.15,aes-key-recovery-AES2-60-56-unsat
sortnetwork,PAMO+Occur,1.6099999999999999,1.5799999999999996,3.07,3.14,aes-key-recovery-AES2-60-56-unsat
sortnetwork,Proximity,1.6099999999999999,1.5499999999999998,2.39,2.46,aes-key-recovery-AES2-60-56-unsat
sortnetwork,Natural,1.49,1.5,1.07,1.17,aes-key-recovery-AES2-60-56-unsat
sortnetwork,Occurrence,2.64,2.62,1.85,1.92,aes-key-recovery-AES2-60-56-unsat
sortnetwork,Random_1,0.89,0.92,1.2,1.23,aes-key-recovery-AES2-60-56-unsat
sortnetwork,Random_2,1.55,1.5,1.13,1.21,aes-key-recovery-AES2-60-56-unsat
sortnetwork,Random_3,3.08,3.07,1.12,1.2,aes-key-recovery-AES2-60-56-unsat
sortnetwork,Random_4,1.55,1.53,1.14,1.2,aes-key-recovery-AES2-60-56-unsat
sortnetwork,Random_5,2.8,2.82,1.14,1.21,aes-key-recovery-AES2-60-56-unsat
sequential,PAMO+Occur,1.46,1.4599999999999995,3.08,3.1,aes-key-recovery-AES2-60-56-unsat
sequential,Proximity,1.4500000000000002,1.4300000000000002,2.36,2.42,aes-key-recovery-AES2-60-56-unsat
